id_venta,fecha_venta,id_cliente,nombre_cliente,edad,ciudad,region,canal_venta,cantidad,precio_unitario_clp,total_venta_clp,monto_compra,fin_de_semana,tipo_compra,etapa_vida,meta_anual
43,2022-01-02,5657,Gilberto Barahona,41,santiago,Región Metropolitana de Santiago,App,4,696160,2784640,544934,True,Pack,Adulto Joven,15000000
44,2022-01-02,2966,Jacqueline Ahumada,44,santiago,Región Metropolitana de Santiago,Tienda,4,1175263,4627197,544934,True,Pack,Adulto Joven,15000000
47,2022-01-02,4479,Javier Orellana,34,talca,Región del Maule,Web,1,1085712,1085712,544934,True,Individual,Adulto Joven,15000000
49,2022-01-02,1581,Rodrigo Peña,34,concepción,Región del Biobío,App,4,553471,2213884,544934,True,Pack,Adulto Joven,15000000
50,2022-01-02,1132,Ida Aguirre,31,santiago,Región Metropolitana de Santiago,Web,2,952106,1904212,544934,True,Pack,Adulto Joven,15000000
52,2022-01-02,5635,Daniela Fernández,61,santiago,Región Metropolitana de Santiago,Tienda,1,350518,350518,544934,True,Individual,Senior,15000000
53,2022-01-02,1617,Elizabeth Díaz,34,santiago,Región Metropolitana de Santiago,App,3,929753,2789259,544934,True,Pack,Adulto Joven,15000000
55,2022-01-02,4564,Nancy Araneda,34,santiago,Región Metropolitana de Santiago,Tienda,4,447857,1791428,544934,True,Pack,Adulto Joven,15000000
56,2022-01-02,2855,César Díaz,34,santiago,Región Metropolitana de Santiago,App,1,784553,784553,544934,True,Individual,Adulto Joven,15000000
58,2022-01-02,3987,Jaime Salinas,30,valparaíso,Región de Valparaíso,App,2,277735,555470,544934,True,Pack,Joven,15000000
59,2022-01-02,1087,Ximena Torres,34,viña del mar,Región de Valparaíso,App,2,989287,1978574,544934,True,Pack,Adulto Joven,15000000
61,2022-01-03,4955,Eduardo Gómez,46,concepción,Región del Biobío,Tienda,2,1136463,2272926,544934,False,Pack,Adulto Joven,15000000
62,2022-01-03,5635,Daniela Fernández,61,santiago,Región Metropolitana de Santiago,App,2,798768,1597536,544934,False,Pack,Senior,15000000
65,2022-01-03,3924,Fredy Valenzuela,45,santiago,Región Metropolitana de Santiago,Tienda,3,264276,792828,544934,False,Pack,Adulto Joven,15000000
69,2022-01-03,2737,Felipe Salazar,45,talca,Región del Maule,Web,4,589468,2357872,544934,False,Pack,Adulto Joven,15000000
70,2022-01-03,3739,Enzo Rojas,18,santiago,Región Metropolitana de Santiago,Tienda,2,267850,535700,544934,False,Pack,Joven,15000000
71,2022-01-03,3128,Kiara Becerra,26,santiago,Región Metropolitana de Santiago,App,2,1179995,2359990,544934,False,Pack,Joven,15000000
72,2022-01-03,254,Diego Toro,44,viña del mar,Región de Valparaíso,Tienda,1,1182046,1182046,385230,False,Individual,Adulto Joven,15000000
73,2022-01-03,3049,Héctor Ibarra,50,concepción,Región del Biobío,Tienda,4,759259,3037036,544934,False,Pack,Adulto Joven,15000000
74,2022-01-03,1568,Verónica Vidal,60,antofagasta,Región de Antofagasta,Web,2,683931,1367862,544934,False,Pack,Senior,15000000
75,2022-01-03,3702,Mario Muñoz,48,santiago,Región Metropolitana de Santiago,Web,3,835145,2505435,544934,False,Pack,Adulto Joven,15000000
76,2022-01-03,754,María Urra,31,concepción,Región del Biobío,App,4,148611,594444,401415,False,Pack,Adulto Joven,15000000
77,2022-01-03,1486,Pamela Vidal,22,concepción,Región del Biobío,App,4,154804,619216,544934,False,Pack,Joven,15000000
78,2022-01-03,1905,Martín Cortés,19,santiago,Región Metropolitana de Santiago,App,2,1128173,2256346,544934,False,Pack,Joven,15000000
80,2022-01-03,5038,Claudio Garay,19,la serena,Región de Coquimbo,App,3,851894,2555682,544934,False,Pack,Joven,15000000
82,2022-01-03,2036,Fernando Campos,26,concepción,Región del Biobío,App,3,610436,1831308,544934,False,Pack,Joven,15000000
83,2022-01-03,893,Marta Parra,38,viña del mar,Región de Valparaíso,Web,1,167922,167922,847198,False,Individual,Adulto Joven,15000000
84,2022-01-03,4351,Iván Herrera,34,temuco,Región de la Araucanía,Tienda,2,1125017,2250034,544934,False,Pack,Adulto Joven,15000000
86,2022-01-03,3157,Alexis Gómez,34,santiago,Región Metropolitana de Santiago,Tienda,4,1108242,4432968,544934,False,Pack,Adulto Joven,15000000
87,2022-01-03,3431,Rafael Ayala,28,viña del mar,Región de Valparaíso,App,1,363273,363273,544934,False,Individual,Joven,15000000
88,2022-01-03,1542,Rodolfo Pavez,41,santiago,Región Metropolitana de Santiago,Web,3,38578,115734,544934,False,Pack,Adulto Joven,15000000
89,2022-01-03,1007,Marcela Toro,28,la serena,Región de Coquimbo,App,3,312907,938721,544934,False,Pack,Joven,15000000
93,2022-01-04,2194,Constanza Cornejo,26,santiago,Región Metropolitana de Santiago,Web,4,801155,3204620,544934,False,Pack,Joven,15000000
94,2022-01-04,5877,David Guerrero,34,temuco,Región de la Araucanía,App,3,119252,357756,544934,False,Pack,Adulto Joven,15000000
95,2022-01-04,2305,Bastián Villanueva,22,santiago,Región Metropolitana de Santiago,App,3,140112,420336,544934,False,Pack,Joven,15000000
96,2022-01-04,3989,María Salazar,34,santiago,Región Metropolitana de Santiago,Tienda,3,302762,908286,544934,False,Pack,Adulto Joven,15000000
97,2022-01-04,5199,Joaquín Vega,28,la serena,Región de Coquimbo,App,3,598228,1794684,544934,False,Pack,Joven,15000000
98,2022-01-04,521,Ingrid Toledo,32,valparaíso,Región de Valparaíso,Web,1,470173,470173,634718,False,Individual,Adulto Joven,15000000
99,2022-01-04,4438,Luis Acevedo,43,santiago,Región Metropolitana de Santiago,Web,2,921505,1843010,544934,False,Pack,Adulto Joven,15000000
100,2022-01-04,5529,Claudia Parra,28,antofagasta,Región de Antofagasta,App,2,1077831,2155662,544934,False,Pack,Joven,15000000
103,2022-01-04,3464,Sixto Contreras,30,concepción,Región del Biobío,Web,1,528218,528218,544934,False,Individual,Joven,15000000
104,2022-01-04,4152,Rodrigo Concha,34,santiago,Región Metropolitana de Santiago,App,3,161058,483174,544934,False,Pack,Adulto Joven,15000000
105,2022-01-04,2108,Simón Zúñiga,34,concepción,Región del Biobío,Tienda,1,1062847,1062847,544934,False,Individual,Adulto Joven,15000000
106,2022-01-04,2600,María Molina,22,la serena,Región de Coquimbo,App,2,554174,1108348,544934,False,Pack,Joven,15000000
108,2022-01-04,640,María Padilla,61,viña del mar,Región de Valparaíso,Tienda,4,235854,943416,439556,False,Pack,Senior,15000000
109,2022-01-04,5915,Adrián Valenzuela,42,santiago,Región Metropolitana de Santiago,Web,4,334179,1336716,544934,False,Pack,Adulto Joven,15000000
110,2022-01-04,9,Silvia Salas,38,temuco,Región de la Araucanía,Tienda,4,656808,2627232,641004,False,Pack,Adulto Joven,15000000
112,2022-01-04,139,Sonia Vásquez,37,santiago,Región Metropolitana de Santiago,Web,1,752322,752322,427267,False,Individual,Adulto Joven,15000000
116,2022-01-04,2711,María Muñoz,25,santiago,Región Metropolitana de Santiago,App,3,734017,2202051,544934,False,Pack,Joven,15000000
118,2022-01-04,2828,Gregory Cea,28,viña del mar,Región de Valparaíso,Tienda,2,517498,1034996,544934,False,Pack,Joven,15000000
119,2022-01-04,2370,Francisca Urbina,18,santiago,Región Metropolitana de Santiago,App,3,174613,523839,544934,False,Pack,Joven,15000000
120,2022-01-04,4134,Irma Molina,45,santiago,Región Metropolitana de Santiago,Tienda,4,1121073,4484292,544934,False,Pack,Adulto Joven,15000000
121,2022-01-05,4337,Isabel Palma,20,concepción,Región del Biobío,Tienda,4,385718,1542872,544934,False,Pack,Joven,15000000
122,2022-01-05,4176,Matías Espinoza,34,santiago,Región Metropolitana de Santiago,Web,1,157287,157287,544934,False,Individual,Adulto Joven,15000000
124,2022-01-05,5203,Javiera Leiva,39,la serena,Región de Coquimbo,Web,3,724119,2172357,544934,False,Pack,Adulto Joven,15000000
125,2022-01-05,1290,Marcelo Rubilar,24,temuco,Región de la Araucanía,App,4,15432,61728,544934,False,Pack,Joven,15000000
126,2022-01-05,1283,Cristian Bernal,34,santiago,Región Metropolitana de Santiago,Tienda,4,756014,3024056,544934,False,Pack,Adulto Joven,15000000
127,2022-01-05,2689,Martha Guzmán,23,santiago,Región Metropolitana de Santiago,Web,2,80469,160938,544934,False,Pack,Joven,15000000
128,2022-01-05,5432,Leslie Reyes,38,santiago,Región Metropolitana de Santiago,Tienda,4,106557,426228,544934,False,Pack,Adulto Joven,15000000
129,2022-01-05,2356,Juan Moreno,62,talca,Región del Maule,Web,3,1125712,3377136,544934,False,Pack,Senior,15000000
130,2022-01-05,4055,Félix Lara,27,valparaíso,Región de Valparaíso,Web,2,632683,1265366,544934,False,Pack,Joven,15000000
131,2022-01-05,2093,Bárbara Ramírez,22,santiago,Región Metropolitana de Santiago,Tienda,1,1009736,1009736,544934,False,Individual,Joven,15000000
132,2022-01-05,830,Jorge Novoa,21,santiago,Región Metropolitana de Santiago,Web,1,261320,261320,506996,False,Individual,Joven,15000000
133,2022-01-05,475,María Navarrete,24,la serena,Región de Coquimbo,App,4,385074,1540296,574931,False,Pack,Joven,15000000
135,2022-01-05,677,Camila Tapia,24,viña del mar,Región de Valparaíso,Web,4,583850,2335400,200835,False,Pack,Joven,15000000
136,2022-01-05,240,Marcelo Jara,48,santiago,Región Metropolitana de Santiago,Web,3,391675,1175025,259400,False,Pack,Adulto Joven,15000000
138,2022-01-05,1580,Lukas Álvarez,29,viña del mar,Región de Valparaíso,Web,1,1108777,1108777,544934,False,Individual,Joven,15000000
140,2022-01-05,3140,Vania Pereira,53,santiago,Región Metropolitana de Santiago,Tienda,2,87028,174056,544934,False,Pack,Senior,15000000
141,2022-01-05,199,Isabel Vásquez,39,santiago,Región Metropolitana de Santiago,Tienda,2,210212,420424,898378,False,Pack,Adulto Joven,15000000
142,2022-01-05,1150,Jeremías Urbina,33,santiago,Región Metropolitana de Santiago,Tienda,3,596822,1790466,544934,False,Pack,Adulto Joven,15000000
144,2022-01-05,5275,Ariela Villa,30,concepción,Región del Biobío,Web,1,544109,544109,544934,False,Individual,Joven,15000000
145,2022-01-05,966,Isabel Méndez,24,santiago,Región Metropolitana de Santiago,App,1,1064508,1064508,420105,False,Individual,Joven,15000000
147,2022-01-05,3737,Nury Vergara,45,temuco,Región de la Araucanía,Web,3,983072,2949216,544934,False,Pack,Adulto Joven,15000000
148,2022-01-05,5555,Michelle Cárdenas,50,valparaíso,Región de Valparaíso,Web,4,772747,3090988,544934,False,Pack,Adulto Joven,15000000
149,2022-01-05,175,Constanza Allendes,48,santiago,Región Metropolitana de Santiago,Tienda,4,975139,3900556,680656,False,Pack,Adulto Joven,15000000
151,2022-01-06,681,Camila Torres,34,santiago,Región Metropolitana de Santiago,App,2,1021097,2042194,835365,False,Pack,Adulto Joven,15000000
152,2022-01-06,4424,Damaris Toro,30,concepción,Región del Biobío,Tienda,2,98142,196284,544934,False,Pack,Joven,15000000
153,2022-01-06,2368,Pablo Carvajal,28,valparaíso,Región de Valparaíso,Web,2,60018,120036,544934,False,Pack,Joven,15000000
154,2022-01-06,4462,Arturo Vera,35,santiago,Región Metropolitana de Santiago,Tienda,1,57189,57189,544934,False,Individual,Adulto Joven,15000000
155,2022-01-06,3839,Rosa López,30,puerto montt,Región de los Lagos,App,3,432296,1296888,544934,False,Pack,Joven,15000000
156,2022-01-06,5047,Hilda Riveros,36,santiago,Región Metropolitana de Santiago,Web,4,450119,1800476,544934,False,Pack,Adulto Joven,15000000
159,2022-01-06,240,Marcelo Jara,48,santiago,Región Metropolitana de Santiago,Web,3,1168542,3505626,259400,False,Pack,Adulto Joven,15000000
161,2022-01-06,3010,María Urrutia,57,santiago,Región Metropolitana de Santiago,Tienda,1,842263,842263,544934,False,Individual,Senior,15000000
162,2022-01-06,5583,Marta Avilés,46,santiago,Región Metropolitana de Santiago,Web,4,274066,1096264,544934,False,Pack,Adulto Joven,15000000
163,2022-01-06,1094,Brenda Arteaga,34,antofagasta,Región de Antofagasta,Tienda,1,9658,9658,544934,False,Individual,Adulto Joven,15000000
164,2022-01-06,777,Norma Riquelme,47,santiago,Región Metropolitana de Santiago,App,4,907488,3629952,306326,False,Pack,Adulto Joven,15000000
165,2022-01-06,3011,Daniel Ramírez,18,concepción,Región del Biobío,App,4,431575,1726300,544934,False,Pack,Joven,15000000
167,2022-01-06,4309,Cristina Vega,33,santiago,Región Metropolitana de Santiago,Tienda,1,617903,617903,544934,False,Individual,Adulto Joven,15000000
169,2022-01-06,1569,Mario Núñez,37,talca,Región del Maule,Web,2,673863,1347726,544934,False,Pack,Adulto Joven,15000000
170,2022-01-06,3112,Esteban Manríquez,53,santiago,Región Metropolitana de Santiago,Web,4,1019635,4078540,544934,False,Pack,Senior,15000000
171,2022-01-06,1812,Iris Fernández,35,temuco,Región de la Araucanía,Web,4,816968,3267872,544934,False,Pack,Adulto Joven,15000000
172,2022-01-06,5941,Bernardita Pizarro,23,temuco,Región de la Araucanía,Tienda,4,71192,284768,544934,False,Pack,Joven,15000000
175,2022-01-06,475,María Navarrete,24,la serena,Región de Coquimbo,App,4,324559,1298236,574931,False,Pack,Joven,15000000
176,2022-01-06,4842,Flor Farías,46,viña del mar,Región de Valparaíso,Tienda,3,490214,1470642,544934,False,Pack,Adulto Joven,15000000
177,2022-01-06,4138,Gladys Campos,34,antofagasta,Región de Antofagasta,Tienda,1,919021,919021,544934,False,Individual,Adulto Joven,15000000
179,2022-01-06,1582,Francisco Muñoz,25,concepción,Región del Biobío,Tienda,1,744853,744853,544934,False,Individual,Joven,15000000
180,2022-01-06,5234,Moisés Aguilera,49,santiago,Región Metropolitana de Santiago,Tienda,3,1197979,3593937,544934,False,Pack,Adulto Joven,15000000
181,2022-01-07,2046,Celestino Jara,44,santiago,Región Metropolitana de Santiago,Tienda,4,936883,3747532,544934,False,Pack,Adulto Joven,15000000
183,2022-01-07,1182,Renato Silva,24,valparaíso,Región de Valparaíso,Web,3,514280,1542840,544934,False,Pack,Joven,15000000
184,2022-01-07,3335,Jessica Márquez,34,santiago,Región Metropolitana de Santiago,Web,2,827649,1655298,544934,False,Pack,Adulto Joven,15000000
189,2022-01-07,4591,Sebastián Rojas,20,santiago,Región Metropolitana de Santiago,Web,2,565742,1131484,544934,False,Pack,Joven,15000000
190,2022-01-07,855,José Sanhueza,73,temuco,Región de la Araucanía,Tienda,3,555849,1667547,284626,False,Pack,Adulto Mayor,15000000
193,2022-01-07,3037,Manuel Silva,21,la serena,Región de Coquimbo,Web,2,1168509,2337018,544934,False,Pack,Joven,15000000
194,2022-01-07,2135,Juan Montecino,28,concepción,Región del Biobío,Web,1,56252,56252,544934,False,Individual,Joven,15000000
198,2022-01-07,2345,Eduardo Ríos,47,santiago,Región Metropolitana de Santiago,Tienda,3,767814,2303442,544934,False,Pack,Adulto Joven,15000000
199,2022-01-07,4433,Marta Mardones,34,valparaíso,Región de Valparaíso,Tienda,1,404358,404358,544934,False,Individual,Adulto Joven,15000000
201,2022-01-07,2147,Josefa Vargas,44,antofagasta,Región de Antofagasta,Tienda,1,76373,76373,544934,False,Individual,Adulto Joven,15000000
202,2022-01-07,2400,Cristian Salazar,25,rancagua,Región del Libertador General Bernardo O'Higgins,Web,2,1199544,2399088,544934,False,Pack,Joven,15000000
206,2022-01-07,3156,Rosalía Reyes,50,santiago,Región Metropolitana de Santiago,Tienda,1,209560,209560,544934,False,Individual,Adulto Joven,15000000
207,2022-01-07,2309,Tatiana Villalobos,23,santiago,Región Metropolitana de Santiago,Web,1,1111439,1111439,544934,False,Individual,Joven,15000000
208,2022-01-07,1576,María San Martín,24,santiago,Región Metropolitana de Santiago,Web,2,357331,714662,544934,False,Pack,Joven,15000000
209,2022-01-07,367,Florencia Zamora,43,concepción,Región del Biobío,Tienda,4,691237,2764948,965072,False,Pack,Adulto Joven,15000000
211,2022-01-08,1039,Patricio Olea,35,santiago,Región Metropolitana de Santiago,Tienda,4,279571,1118284,544934,True,Pack,Adulto Joven,15000000
213,2022-01-08,359,Juan Muñoz,47,la serena,Región de Coquimbo,Web,1,1110432,1110432,946207,True,Individual,Adulto Joven,15000000
214,2022-01-08,4190,Javier Vejar,47,santiago,Región Metropolitana de Santiago,Tienda,1,704631,704631,544934,True,Individual,Adulto Joven,15000000
215,2022-01-08,3737,Nury Vergara,45,temuco,Región de la Araucanía,Tienda,4,344074,1376296,544934,True,Pack,Adulto Joven,15000000
217,2022-01-08,4444,María Garrido,30,santiago,Región Metropolitana de Santiago,Tienda,2,356762,713524,544934,True,Pack,Joven,15000000
218,2022-01-08,5797,Juana Martínez,34,puerto montt,Región de los Lagos,Web,4,358926,1435704,544934,True,Pack,Adulto Joven,15000000
221,2022-01-08,5077,Claudio León,24,santiago,Región Metropolitana de Santiago,App,3,332395,997185,544934,True,Pack,Joven,15000000
222,2022-01-08,3350,Sergio Montes,27,santiago,Región Metropolitana de Santiago,App,3,359260,1077780,544934,True,Pack,Joven,15000000
224,2022-01-08,2877,Valentina Valdés,43,puerto montt,Región de los Lagos,Tienda,2,489717,979434,544934,True,Pack,Adulto Joven,15000000
225,2022-01-08,2945,Bárbara Cabrera,49,concepción,Región del Biobío,Web,4,319445,1277780,544934,True,Pack,Adulto Joven,15000000
226,2022-01-08,5321,Antonella Guerra,34,santiago,Región Metropolitana de Santiago,Tienda,2,1089375,2178750,544934,True,Pack,Adulto Joven,15000000
227,2022-01-08,799,Moisés Varas,27,viña del mar,Región de Valparaíso,App,1,742306,742306,726986,True,Individual,Joven,15000000
228,2022-01-08,4548,Ítalo Zúñiga,72,la serena,Región de Coquimbo,Tienda,2,866534,1733068,544934,True,Pack,Adulto Mayor,15000000
229,2022-01-08,5895,Nataly Fuentes,40,santiago,Región Metropolitana de Santiago,Web,3,143233,429699,544934,True,Pack,Adulto Joven,15000000
230,2022-01-08,4640,Julieta Santander,61,concepción,Región del Biobío,Web,1,400381,400381,544934,True,Individual,Senior,15000000
232,2022-01-08,4436,Sebastián Cornejo,24,santiago,Región Metropolitana de Santiago,Web,1,1000384,1000384,544934,True,Individual,Joven,15000000
233,2022-01-08,4206,Roxana Contreras,28,temuco,Región de la Araucanía,App,4,575174,2300696,544934,True,Pack,Joven,15000000
234,2022-01-08,352,Juan Oyarzo,33,santiago,Región Metropolitana de Santiago,Tienda,4,393559,1574236,870841,True,Pack,Adulto Joven,15000000
235,2022-01-08,4234,David Jara,27,talca,Región del Maule,App,4,396810,1587240,544934,True,Pack,Joven,15000000
238,2022-01-08,1204,Alan Vásquez,34,concepción,Región del Biobío,App,3,791519,2374557,544934,True,Pack,Adulto Joven,15000000
240,2022-01-08,5972,Felipe Salazar,34,puerto montt,Región de los Lagos,Tienda,1,275835,275835,544934,True,Individual,Adulto Joven,15000000
242,2022-01-09,5558,Manuel Soto,53,talca,Región del Maule,Tienda,1,91437,91437,544934,True,Individual,Senior,15000000
243,2022-01-09,5332,Fernando Castro,34,santiago,Región Metropolitana de Santiago,App,4,114152,456608,544934,True,Pack,Adulto Joven,15000000
245,2022-01-09,4364,Pablo Gallardo,33,puerto montt,Región de los Lagos,Web,2,122001,244002,544934,True,Pack,Adulto Joven,15000000
246,2022-01-09,4354,Carlos Valenzuela,21,santiago,Región Metropolitana de Santiago,App,1,206160,206160,544934,True,Individual,Joven,15000000
249,2022-01-09,1103,Sergio Sierra,76,valparaíso,Región de Valparaíso,Web,2,40317,80634,544934,True,Pack,Adulto Mayor,15000000
252,2022-01-09,3681,Domingo Díaz,39,concepción,Región del Biobío,Web,3,1075289,3225867,544934,True,Pack,Adulto Joven,15000000
253,2022-01-09,2653,Georgina Arenas,52,concepción,Región del Biobío,Tienda,1,901803,901803,544934,True,Individual,Senior,15000000
255,2022-01-09,4180,Erna Acevedo,45,concepción,Región del Biobío,Tienda,1,376579,376579,544934,True,Individual,Adulto Joven,15000000
256,2022-01-09,2140,Valentina Aravena,47,valparaíso,Región de Valparaíso,Web,2,607186,1214372,544934,True,Pack,Adulto Joven,15000000
257,2022-01-09,4176,Matías Espinoza,34,santiago,Región Metropolitana de Santiago,Tienda,3,611618,1834854,544934,True,Pack,Adulto Joven,15000000
258,2022-01-09,2349,Luis Arias,38,santiago,Región Metropolitana de Santiago,Tienda,3,787883,2363649,544934,True,Pack,Adulto Joven,15000000
261,2022-01-09,1621,Carmen González,20,santiago,Región Metropolitana de Santiago,Web,3,691026,2073078,544934,True,Pack,Joven,15000000
263,2022-01-09,5306,Martín Román,26,viña del mar,Región de Valparaíso,App,4,976922,3907688,544934,True,Pack,Joven,15000000
264,2022-01-09,664,Génesis Jara,30,antofagasta,Región de Antofagasta,App,4,933864,3735456,313504,True,Pack,Joven,15000000
265,2022-01-09,3775,Karen Díaz,20,santiago,Región Metropolitana de Santiago,Tienda,1,561667,561667,544934,True,Individual,Joven,15000000
266,2022-01-09,21,Laura Carrillo,25,rancagua,Región del Libertador General Bernardo O'Higgins,Web,4,216376,865504,650668,True,Pack,Joven,15000000
269,2022-01-09,1739,Jorge Almonacid,34,santiago,Región Metropolitana de Santiago,Web,1,1112033,1112033,544934,True,Individual,Adulto Joven,15000000
270,2022-01-09,3764,Alicia Vergara,62,santiago,Región Metropolitana de Santiago,Tienda,3,1105871,3317613,544934,True,Pack,Senior,15000000
272,2022-01-10,552,Julio Catalán,34,viña del mar,Región de Valparaíso,Web,1,66086,66086,866963,False,Individual,Adulto Joven,15000000
275,2022-01-10,4406,Marisel Martínez,37,concepción,Región del Biobío,App,3,793026,2379078,544934,False,Pack,Adulto Joven,15000000
276,2022-01-10,771,Álvaro Delgado,57,santiago,Región Metropolitana de Santiago,Tienda,2,80861,161722,199569,False,Pack,Senior,15000000
277,2022-01-10,1981,Jacob Aranda,40,temuco,Región de la Araucanía,App,2,738969,1477938,544934,False,Pack,Adulto Joven,15000000
278,2022-01-10,2516,Abigail Torres,34,santiago,Región Metropolitana de Santiago,Tienda,3,369607,1108821,544934,False,Pack,Adulto Joven,15000000
279,2022-01-10,3030,Bastián Zenteno,42,antofagasta,Región de Antofagasta,Web,3,736820,2210460,544934,False,Pack,Adulto Joven,15000000
280,2022-01-10,4096,Juan Arriagada,23,santiago,Región Metropolitana de Santiago,Tienda,4,383682,1534728,544934,False,Pack,Joven,15000000
282,2022-01-10,4214,César Tobar,50,valparaíso,Región de Valparaíso,Tienda,1,330664,330664,544934,False,Individual,Adulto Joven,15000000
283,2022-01-10,3807,Liliana García,29,la serena,Región de Coquimbo,Web,2,1108299,2216598,544934,False,Pack,Joven,15000000
284,2022-01-10,365,María Valladares,30,antofagasta,Región de Antofagasta,App,4,821422,3285688,947318,False,Pack,Joven,15000000
285,2022-01-10,2431,Olga Vergara,78,santiago,Región Metropolitana de Santiago,Tienda,4,12319,49276,544934,False,Pack,Adulto Mayor,15000000
288,2022-01-10,2710,José Araya,23,santiago,Región Metropolitana de Santiago,App,3,485653,1456959,544934,False,Pack,Joven,15000000
289,2022-01-10,781,Ángel González,30,santiago,Región Metropolitana de Santiago,App,3,99345,298035,724554,False,Pack,Joven,15000000
290,2022-01-10,5400,Carlos Rojas,34,valparaíso,Región de Valparaíso,Web,1,305190,305190,544934,False,Individual,Adulto Joven,15000000
294,2022-01-10,1108,Mario Torres,34,valparaíso,Región de Valparaíso,Tienda,2,569948,1139896,544934,False,Pack,Adulto Joven,15000000
295,2022-01-10,4029,Martin Arancibia,34,concepción,Región del Biobío,Web,2,467138,934276,544934,False,Pack,Adulto Joven,15000000
296,2022-01-10,2931,Consuelo Arévalo,33,santiago,Región Metropolitana de Santiago,Tienda,1,1110715,1110715,544934,False,Individual,Adulto Joven,15000000
298,2022-01-10,3192,Andrés Acosta,53,santiago,Región Metropolitana de Santiago,Web,3,762078,2286234,544934,False,Pack,Senior,15000000
300,2022-01-10,1031,Gloria Galleguillos,28,santiago,Región Metropolitana de Santiago,Web,3,29057,87171,544934,False,Pack,Joven,15000000
306,2022-01-11,826,Ricardo Rojas,46,valparaíso,Región de Valparaíso,Web,3,172697,518091,927870,False,Pack,Adulto Joven,15000000
308,2022-01-11,892,Tatiana Benavides,43,concepción,Región del Biobío,Web,2,1169345,2338690,870127,False,Pack,Adulto Joven,15000000
309,2022-01-11,989,Diana Soto,36,concepción,Región del Biobío,Tienda,3,699819,2099457,321762,False,Pack,Adulto Joven,15000000
310,2022-01-11,1194,Yasmín Aravena,34,valparaíso,Región de Valparaíso,Web,3,511018,1533054,544934,False,Pack,Adulto Joven,15000000
312,2022-01-11,1061,Jorge Cortés,41,temuco,Región de la Araucanía,Web,2,1150052,2300104,544934,False,Pack,Adulto Joven,15000000
313,2022-01-11,1320,Mabel Donoso,35,concepción,Región del Biobío,Web,4,1197451,4627197,544934,False,Pack,Adulto Joven,15000000
315,2022-01-11,3971,Adrián Jaramillo,34,santiago,Región Metropolitana de Santiago,Tienda,3,863425,2590275,544934,False,Pack,Adulto Joven,15000000
316,2022-01-11,3079,Damaris Poblete,31,santiago,Región Metropolitana de Santiago,Tienda,4,969275,3877100,544934,False,Pack,Adulto Joven,15000000
