id_venta,fecha_venta,id_cliente,nombre_cliente,edad,ciudad,region,canal_venta,cantidad,precio_unitario_clp,total_venta_clp,monto_compra
65,03-01-2022,3924,Fredy Valenzuela,45,santiago,Región Metropolitana de Santiago,Tienda,3,264276,792828,544934.0
69,03-01-2022,2737,Felipe Salazar,45,talca,Región del Maule,Web,4,589468,2357872,544934.0
70,03-01-2022,3739,Enzo Rojas,18,santiago,Región Metropolitana de Santiago,Tienda,2,267850,535700,544934.0
71,03-01-2022,3128,Kiara Becerra,26,santiago,Región Metropolitana de Santiago,App,2,1179995,2359990,544934.0
72,03-01-2022,254,Diego Toro,44,viña del mar,Región de Valparaíso,Tienda,1,1182046,1182046,385230.0
73,03-01-2022,3049,Héctor Ibarra,50,concepción,Región del Biobío,Tienda,4,759259,3037036,544934.0
74,03-01-2022,1568,Verónica Vidal,60,antofagasta,Región de Antofagasta,Web,2,683931,1367862,544934.0
75,03-01-2022,3702,Mario Muñoz,48,santiago,Región Metropolitana de Santiago,Web,3,835145,2505435,544934.0
76,03-01-2022,754,María Urra,31,concepción,Región del Biobío,App,4,148611,594444,401415.0
77,03-01-2022,1486,Pamela Vidal,22,concepción,Región del Biobío,App,4,154804,619216,544934.0
78,03-01-2022,1905,Martín Cortés,19,santiago,Región Metropolitana de Santiago,App,2,1128173,2256346,544934.0
80,03-01-2022,5038,Claudio Garay,19,la serena,Región de Coquimbo,App,3,851894,2555682,544934.0
82,03-01-2022,2036,Fernando Campos,26,concepción,Región del Biobío,App,3,610436,1831308,544934.0
83,03-01-2022,893,Marta Parra,38,viña del mar,Región de Valparaíso,Web,1,167922,167922,847198.0
84,03-01-2022,4351,Iván Herrera,34,temuco,Región de la Araucanía,Tienda,2,1125017,2250034,544934.0
86,03-01-2022,3157,Alexis Gómez,34,santiago,Región Metropolitana de Santiago,Tienda,4,1108242,4432968,544934.0
87,03-01-2022,3431,Rafael Ayala,28,viña del mar,Región de Valparaíso,App,1,363273,363273,544934.0
88,03-01-2022,1542,Rodolfo Pavez,41,santiago,Región Metropolitana de Santiago,Web,3,38578,115734,544934.0
89,03-01-2022,1007,Marcela Toro,28,la serena,Región de Coquimbo,App,3,312907,938721,544934.0
93,04-01-2022,2194,Constanza Cornejo,26,santiago,Región Metropolitana de Santiago,Web,4,801155,3204620,544934.0
94,04-01-2022,5877,David Guerrero,34,temuco,Región de la Araucanía,App,3,119252,357756,544934.0
95,04-01-2022,2305,Bastián Villanueva,22,santiago,Región Metropolitana de Santiago,App,3,140112,420336,544934.0
96,04-01-2022,3989,María Salazar,34,santiago,Región Metropolitana de Santiago,Tienda,3,302762,908286,544934.0
97,04-01-2022,5199,Joaquín Vega,28,la serena,Región de Coquimbo,App,3,598228,1794684,544934.0
98,04-01-2022,521,Ingrid Toledo,32,valparaíso,Región de Valparaíso,Web,1,470173,470173,634718.0
99,04-01-2022,4438,Luis Acevedo,43,santiago,Región Metropolitana de Santiago,Web,2,921505,1843010,544934.0
100,04-01-2022,5529,Claudia Parra,28,antofagasta,Región de Antofagasta,App,2,1077831,2155662,544934.0
103,04-01-2022,3464,Sixto Contreras,30,concepción,Región del Biobío,Web,1,528218,528218,544934.0
104,04-01-2022,4152,Rodrigo Concha,34,santiago,Región Metropolitana de Santiago,App,3,161058,483174,544934.0
105,04-01-2022,2108,Simón Zúñiga,34,concepción,Región del Biobío,Tienda,1,1062847,1062847,544934.0
106,04-01-2022,2600,María Molina,22,la serena,Región de Coquimbo,App,2,554174,1108348,544934.0
108,04-01-2022,640,María Padilla,61,viña del mar,Región de Valparaíso,Tienda,4,235854,943416,439556.0
109,04-01-2022,5915,Adrián Valenzuela,42,santiago,Región Metropolitana de Santiago,Web,4,334179,1336716,544934.0
110,04-01-2022,9,Silvia Salas,38,temuco,Región de la Araucanía,Tienda,4,656808,2627232,641004.0
112,04-01-2022,139,Sonia Vásquez,37,santiago,Región Metropolitana de Santiago,Web,1,752322,752322,427267.0
116,04-01-2022,2711,María Muñoz,25,santiago,Región Metropolitana de Santiago,App,3,734017,2202051,544934.0
118,04-01-2022,2828,Gregory Cea,28,viña del mar,Región de Valparaíso,Tienda,2,517498,1034996,544934.0
119,04-01-2022,2370,Francisca Urbina,18,santiago,Región Metropolitana de Santiago,App,3,174613,523839,544934.0
120,04-01-2022,4134,Irma Molina,45,santiago,Región Metropolitana de Santiago,Tienda,4,1121073,4484292,544934.0
121,05-01-2022,4337,Isabel Palma,20,concepción,Región del Biobío,Tienda,4,385718,1542872,544934.0
122,05-01-2022,4176,Matías Espinoza,34,santiago,Región Metropolitana de Santiago,Web,1,157287,157287,544934.0
124,05-01-2022,5203,Javiera Leiva,39,la serena,Región de Coquimbo,Web,3,724119,2172357,544934.0
125,05-01-2022,1290,Marcelo Rubilar,24,temuco,Región de la Araucanía,App,4,15432,61728,544934.0
126,05-01-2022,1283,Cristian Bernal,34,santiago,Región Metropolitana de Santiago,Tienda,4,756014,3024056,544934.0
127,05-01-2022,2689,Martha Guzmán,23,santiago,Región Metropolitana de Santiago,Web,2,80469,160938,544934.0
128,05-01-2022,5432,Leslie Reyes,38,santiago,Región Metropolitana de Santiago,Tienda,4,106557,426228,544934.0
129,05-01-2022,2356,Juan Moreno,62,talca,Región del Maule,Web,3,1125712,3377136,544934.0
130,05-01-2022,4055,Félix Lara,27,valparaíso,Región de Valparaíso,Web,2,632683,1265366,544934.0
131,05-01-2022,2093,Bárbara Ramírez,22,santiago,Región Metropolitana de Santiago,Tienda,1,1009736,1009736,544934.0
132,05-01-2022,830,Jorge Novoa,21,santiago,Región Metropolitana de Santiago,Web,1,261320,261320,506996.0
133,05-01-2022,475,María Navarrete,24,la serena,Región de Coquimbo,App,4,385074,1540296,574931.0
135,05-01-2022,677,Camila Tapia,24,viña del mar,Región de Valparaíso,Web,4,583850,2335400,200835.0
136,05-01-2022,240,Marcelo Jara,48,santiago,Región Metropolitana de Santiago,Web,3,391675,1175025,259400.0
138,05-01-2022,1580,Lukas Álvarez,29,viña del mar,Región de Valparaíso,Web,1,1108777,1108777,544934.0
140,05-01-2022,3140,Vania Pereira,53,santiago,Región Metropolitana de Santiago,Tienda,2,87028,174056,544934.0
141,05-01-2022,199,Isabel Vásquez,39,santiago,Región Metropolitana de Santiago,Tienda,2,210212,420424,898378.0
142,05-01-2022,1150,Jeremías Urbina,33,santiago,Región Metropolitana de Santiago,Tienda,3,596822,1790466,544934.0
144,05-01-2022,5275,Ariela Villa,30,concepción,Región del Biobío,Web,1,544109,544109,544934.0
145,05-01-2022,966,Isabel Méndez,24,santiago,Región Metropolitana de Santiago,App,1,1064508,1064508,420105.0
147,05-01-2022,3737,Nury Vergara,45,temuco,Región de la Araucanía,Web,3,983072,2949216,544934.0
148,05-01-2022,5555,Michelle Cárdenas,50,valparaíso,Región de Valparaíso,Web,4,772747,3090988,544934.0
149,05-01-2022,175,Constanza Allendes,48,santiago,Región Metropolitana de Santiago,Tienda,4,975139,3900556,680656.0
151,06-01-2022,681,Camila Torres,34,santiago,Región Metropolitana de Santiago,App,2,1021097,2042194,835365.0
152,06-01-2022,4424,Damaris Toro,30,concepción,Región del Biobío,Tienda,2,98142,196284,544934.0
153,06-01-2022,2368,Pablo Carvajal,28,valparaíso,Región de Valparaíso,Web,2,60018,120036,544934.0
154,06-01-2022,4462,Arturo Vera,35,santiago,Región Metropolitana de Santiago,Tienda,1,57189,57189,544934.0
155,06-01-2022,3839,Rosa López,30,puerto montt,Región de los Lagos,App,3,432296,1296888,544934.0
156,06-01-2022,5047,Hilda Riveros,36,santiago,Región Metropolitana de Santiago,Web,4,450119,1800476,544934.0
159,06-01-2022,240,Marcelo Jara,48,santiago,Región Metropolitana de Santiago,Web,3,1168542,3505626,259400.0
161,06-01-2022,3010,María Urrutia,57,santiago,Región Metropolitana de Santiago,Tienda,1,842263,842263,544934.0
162,06-01-2022,5583,Marta Avilés,46,santiago,Región Metropolitana de Santiago,Web,4,274066,1096264,544934.0
163,06-01-2022,1094,Brenda Arteaga,34,antofagasta,Región de Antofagasta,Tienda,1,9658,9658,544934.0
164,06-01-2022,777,Norma Riquelme,47,santiago,Región Metropolitana de Santiago,App,4,907488,3629952,306326.0
165,06-01-2022,3011,Daniel Ramírez,18,concepción,Región del Biobío,App,4,431575,1726300,544934.0
167,06-01-2022,4309,Cristina Vega,33,santiago,Región Metropolitana de Santiago,Tienda,1,617903,617903,544934.0
169,06-01-2022,1569,Mario Núñez,37,talca,Región del Maule,Web,2,673863,1347726,544934.0
170,06-01-2022,3112,Esteban Manríquez,53,santiago,Región Metropolitana de Santiago,Web,4,1019635,4078540,544934.0
171,06-01-2022,1812,Iris Fernández,35,temuco,Región de la Araucanía,Web,4,816968,3267872,544934.0
172,06-01-2022,5941,Bernardita Pizarro,23,temuco,Región de la Araucanía,Tienda,4,71192,284768,544934.0
175,06-01-2022,475,María Navarrete,24,la serena,Región de Coquimbo,App,4,324559,1298236,574931.0
176,06-01-2022,4842,Flor Farías,46,viña del mar,Región de Valparaíso,Tienda,3,490214,1470642,544934.0
177,06-01-2022,4138,Gladys Campos,34,antofagasta,Región de Antofagasta,Tienda,1,919021,919021,544934.0
179,06-01-2022,1582,Francisco Muñoz,25,concepción,Región del Biobío,Tienda,1,744853,744853,544934.0
180,06-01-2022,5234,Moisés Aguilera,49,santiago,Región Metropolitana de Santiago,Tienda,3,1197979,3593937,544934.0
181,07-01-2022,2046,Celestino Jara,44,santiago,Región Metropolitana de Santiago,Tienda,4,936883,3747532,544934.0
183,07-01-2022,1182,Renato Silva,24,valparaíso,Región de Valparaíso,Web,3,514280,1542840,544934.0
184,07-01-2022,3335,Jessica Márquez,34,santiago,Región Metropolitana de Santiago,Web,2,827649,1655298,544934.0
189,07-01-2022,4591,Sebastián Rojas,20,santiago,Región Metropolitana de Santiago,Web,2,565742,1131484,544934.0
190,07-01-2022,855,José Sanhueza,73,temuco,Región de la Araucanía,Tienda,3,555849,1667547,284626.0
193,07-01-2022,3037,Manuel Silva,21,la serena,Región de Coquimbo,Web,2,1168509,2337018,544934.0
194,07-01-2022,2135,Juan Montecino,28,concepción,Región del Biobío,Web,1,56252,56252,544934.0
198,07-01-2022,2345,Eduardo Ríos,47,santiago,Región Metropolitana de Santiago,Tienda,3,767814,2303442,544934.0
199,07-01-2022,4433,Marta Mardones,34,valparaíso,Región de Valparaíso,Tienda,1,404358,404358,544934.0
201,07-01-2022,2147,Josefa Vargas,44,antofagasta,Región de Antofagasta,Tienda,1,76373,76373,544934.0
202,07-01-2022,2400,Cristian Salazar,25,rancagua,Región del Libertador General Bernardo O'Higgins,Web,2,1199544,2399088,544934.0
206,07-01-2022,3156,Rosalía Reyes,50,santiago,Región Metropolitana de Santiago,Tienda,1,209560,209560,544934.0
207,07-01-2022,2309,Tatiana Villalobos,23,santiago,Región Metropolitana de Santiago,Web,1,1111439,1111439,544934.0
208,07-01-2022,1576,María San Martín,24,santiago,Región Metropolitana de Santiago,Web,2,357331,714662,544934.0
209,07-01-2022,367,Florencia Zamora,43,concepción,Región del Biobío,Tienda,4,691237,2764948,965072.0
211,08-01-2022,1039,Patricio Olea,35,santiago,Región Metropolitana de Santiago,Tienda,4,279571,1118284,544934.0
213,08-01-2022,359,Juan Muñoz,47,la serena,Región de Coquimbo,Web,1,1110432,1110432,946207.0
214,08-01-2022,4190,Javier Vejar,47,santiago,Región Metropolitana de Santiago,Tienda,1,704631,704631,544934.0
215,08-01-2022,3737,Nury Vergara,45,temuco,Región de la Araucanía,Tienda,4,344074,1376296,544934.0
217,08-01-2022,4444,María Garrido,30,santiago,Región Metropolitana de Santiago,Tienda,2,356762,713524,544934.0
218,08-01-2022,5797,Juana Martínez,34,puerto montt,Región de los Lagos,Web,4,358926,1435704,544934.0
221,08-01-2022,5077,Claudio León,24,santiago,Región Metropolitana de Santiago,App,3,332395,997185,544934.0
222,08-01-2022,3350,Sergio Montes,27,santiago,Región Metropolitana de Santiago,App,3,359260,1077780,544934.0
224,08-01-2022,2877,Valentina Valdés,43,puerto montt,Región de los Lagos,Tienda,2,489717,979434,544934.0
225,08-01-2022,2945,Bárbara Cabrera,49,concepción,Región del Biobío,Web,4,319445,1277780,544934.0
226,08-01-2022,5321,Antonella Guerra,34,santiago,Región Metropolitana de Santiago,Tienda,2,1089375,2178750,544934.0
227,08-01-2022,799,Moisés Varas,27,viña del mar,Región de Valparaíso,App,1,742306,742306,726986.0
228,08-01-2022,4548,Ítalo Zúñiga,72,la serena,Región de Coquimbo,Tienda,2,866534,1733068,544934.0
229,08-01-2022,5895,Nataly Fuentes,40,santiago,Región Metropolitana de Santiago,Web,3,143233,429699,544934.0
230,08-01-2022,4640,Julieta Santander,61,concepción,Región del Biobío,Web,1,400381,400381,544934.0
232,08-01-2022,4436,Sebastián Cornejo,24,santiago,Región Metropolitana de Santiago,Web,1,1000384,1000384,544934.0
233,08-01-2022,4206,Roxana Contreras,28,temuco,Región de la Araucanía,App,4,575174,2300696,544934.0
234,08-01-2022,352,Juan Oyarzo,33,santiago,Región Metropolitana de Santiago,Tienda,4,393559,1574236,870841.0
235,08-01-2022,4234,David Jara,27,talca,Región del Maule,App,4,396810,1587240,544934.0
238,08-01-2022,1204,Alan Vásquez,34,concepción,Región del Biobío,App,3,791519,2374557,544934.0
240,08-01-2022,5972,Felipe Salazar,34,puerto montt,Región de los Lagos,Tienda,1,275835,275835,544934.0
242,09-01-2022,5558,Manuel Soto,53,talca,Región del Maule,Tienda,1,91437,91437,544934.0
243,09-01-2022,5332,Fernando Castro,34,santiago,Región Metropolitana de Santiago,App,4,114152,456608,544934.0
245,09-01-2022,4364,Pablo Gallardo,33,puerto montt,Región de los Lagos,Web,2,122001,244002,544934.0
246,09-01-2022,4354,Carlos Valenzuela,21,santiago,Región Metropolitana de Santiago,App,1,206160,206160,544934.0
249,09-01-2022,1103,Sergio Sierra,76,valparaíso,Región de Valparaíso,Web,2,40317,80634,544934.0
252,09-01-2022,3681,Domingo Díaz,39,concepción,Región del Biobío,Web,3,1075289,3225867,544934.0
253,09-01-2022,2653,Georgina Arenas,52,concepción,Región del Biobío,Tienda,1,901803,901803,544934.0
255,09-01-2022,4180,Erna Acevedo,45,concepción,Región del Biobío,Tienda,1,376579,376579,544934.0
256,09-01-2022,2140,Valentina Aravena,47,valparaíso,Región de Valparaíso,Web,2,607186,1214372,544934.0
257,09-01-2022,4176,Matías Espinoza,34,santiago,Región Metropolitana de Santiago,Tienda,3,611618,1834854,544934.0
258,09-01-2022,2349,Luis Arias,38,santiago,Región Metropolitana de Santiago,Tienda,3,787883,2363649,544934.0
261,09-01-2022,1621,Carmen González,20,santiago,Región Metropolitana de Santiago,Web,3,691026,2073078,544934.0
263,09-01-2022,5306,Martín Román,26,viña del mar,Región de Valparaíso,App,4,976922,3907688,544934.0
264,09-01-2022,664,Génesis Jara,30,antofagasta,Región de Antofagasta,App,4,933864,3735456,313504.0
265,09-01-2022,3775,Karen Díaz,20,santiago,Región Metropolitana de Santiago,Tienda,1,561667,561667,544934.0
266,09-01-2022,21,Laura Carrillo,25,rancagua,Región del Libertador General Bernardo O'Higgins,Web,4,216376,865504,650668.0
269,09-01-2022,1739,Jorge Almonacid,34,santiago,Región Metropolitana de Santiago,Web,1,1112033,1112033,544934.0
270,09-01-2022,3764,Alicia Vergara,62,santiago,Región Metropolitana de Santiago,Tienda,3,1105871,3317613,544934.0
272,10-01-2022,552,Julio Catalán,34,viña del mar,Región de Valparaíso,Web,1,66086,66086,866963.0
275,10-01-2022,4406,Marisel Martínez,37,concepción,Región del Biobío,App,3,793026,2379078,544934.0
276,10-01-2022,771,Álvaro Delgado,57,santiago,Región Metropolitana de Santiago,Tienda,2,80861,161722,199569.0
277,10-01-2022,1981,Jacob Aranda,40,temuco,Región de la Araucanía,App,2,738969,1477938,544934.0
278,10-01-2022,2516,Abigail Torres,34,santiago,Región Metropolitana de Santiago,Tienda,3,369607,1108821,544934.0
279,10-01-2022,3030,Bastián Zenteno,42,antofagasta,Región de Antofagasta,Web,3,736820,2210460,544934.0
280,10-01-2022,4096,Juan Arriagada,23,santiago,Región Metropolitana de Santiago,Tienda,4,383682,1534728,544934.0
282,10-01-2022,4214,César Tobar,50,valparaíso,Región de Valparaíso,Tienda,1,330664,330664,544934.0
283,10-01-2022,3807,Liliana García,29,la serena,Región de Coquimbo,Web,2,1108299,2216598,544934.0
284,10-01-2022,365,María Valladares,30,antofagasta,Región de Antofagasta,App,4,821422,3285688,947318.0
285,10-01-2022,2431,Olga Vergara,78,santiago,Región Metropolitana de Santiago,Tienda,4,12319,49276,544934.0
288,10-01-2022,2710,José Araya,23,santiago,Región Metropolitana de Santiago,App,3,485653,1456959,544934.0
289,10-01-2022,781,Ángel González,30,santiago,Región Metropolitana de Santiago,App,3,99345,298035,724554.0
290,10-01-2022,5400,Carlos Rojas,34,valparaíso,Región de Valparaíso,Web,1,305190,305190,544934.0
294,10-01-2022,1108,Mario Torres,34,valparaíso,Región de Valparaíso,Tienda,2,569948,1139896,544934.0
295,10-01-2022,4029,Martin Arancibia,34,concepción,Región del Biobío,Web,2,467138,934276,544934.0
296,10-01-2022,2931,Consuelo Arévalo,33,santiago,Región Metropolitana de Santiago,Tienda,1,1110715,1110715,544934.0
298,10-01-2022,3192,Andrés Acosta,53,santiago,Región Metropolitana de Santiago,Web,3,762078,2286234,544934.0
300,10-01-2022,1031,Gloria Galleguillos,28,santiago,Región Metropolitana de Santiago,Web,3,29057,87171,544934.0
306,11-01-2022,826,Ricardo Rojas,46,valparaíso,Región de Valparaíso,Web,3,172697,518091,927870.0
308,11-01-2022,892,Tatiana Benavides,43,concepción,Región del Biobío,Web,2,1169345,2338690,870127.0
309,11-01-2022,989,Diana Soto,36,concepción,Región del Biobío,Tienda,3,699819,2099457,321762.0
310,11-01-2022,1194,Yasmín Aravena,34,valparaíso,Región de Valparaíso,Web,3,511018,1533054,544934.0
312,11-01-2022,1061,Jorge Cortés,41,temuco,Región de la Araucanía,Web,2,1150052,2300104,544934.0
313,11-01-2022,1320,Mabel Donoso,35,concepción,Región del Biobío,Web,4,1197451,4627197,544934.0
315,11-01-2022,3971,Adrián Jaramillo,34,santiago,Región Metropolitana de Santiago,Tienda,3,863425,2590275,544934.0
316,11-01-2022,3079,Damaris Poblete,31,santiago,Región Metropolitana de Santiago,Tienda,4,969275,3877100,544934.0
317,11-01-2022,2973,Elías Castillo,23,concepción,Región del Biobío,App,3,15289,45867,544934.0
319,11-01-2022,1946,Marco Cabezas,35,valparaíso,Región de Valparaíso,Tienda,1,709201,709201,544934.0
321,11-01-2022,1193,Mauro Pereira,39,santiago,Región Metropolitana de Santiago,Tienda,4,961958,3847832,544934.0
322,11-01-2022,5950,Jorge Garrido,49,antofagasta,Región de Antofagasta,Tienda,2,1061714,2123428,544934.0
323,11-01-2022,2289,Marisol Tapia,38,viña del mar,Región de Valparaíso,Tienda,2,344833,689666,544934.0
325,11-01-2022,2666,Luz Durán,18,santiago,Región Metropolitana de Santiago,Web,3,66611,199833,544934.0
329,11-01-2022,5285,José Díaz,24,antofagasta,Región de Antofagasta,App,3,80573,241719,544934.0
334,12-01-2022,485,María Astorga,31,santiago,Región Metropolitana de Santiago,Web,3,1008341,3025023,625883.0
335,12-01-2022,1491,Marcela Meza,27,santiago,Región Metropolitana de Santiago,Web,1,1018940,1018940,544934.0
336,12-01-2022,3452,Juana Paredes,25,valparaíso,Región de Valparaíso,Tienda,3,1062773,3188319,544934.0
337,12-01-2022,3227,Melissa González,79,santiago,Región Metropolitana de Santiago,Tienda,2,213466,426932,544934.0
339,12-01-2022,3122,Tomás Tapia,34,rancagua,Región del Libertador General Bernardo O'Higgins,Tienda,4,9417,37668,544934.0
340,12-01-2022,2728,Oscar Escobar,42,santiago,Región Metropolitana de Santiago,Tienda,3,224643,673929,544934.0
341,12-01-2022,5472,Marta Casanova,23,santiago,Región Metropolitana de Santiago,Tienda,3,752670,2258010,544934.0
342,12-01-2022,1458,Jorge Maldonado,34,valparaíso,Región de Valparaíso,Tienda,4,863967,3455868,544934.0
345,12-01-2022,1397,Felipe Saavedra,58,santiago,Región Metropolitana de Santiago,Tienda,2,334909,669818,544934.0
346,12-01-2022,2623,Francisca Méndez,59,viña del mar,Región de Valparaíso,Web,2,863587,1727174,544934.0
347,12-01-2022,2417,Carlos Palma,72,rancagua,Región del Libertador General Bernardo O'Higgins,Tienda,4,157308,629232,544934.0
348,12-01-2022,5827,Iván González,34,valparaíso,Región de Valparaíso,Tienda,1,710858,710858,544934.0
349,12-01-2022,3370,María Rodríguez,46,antofagasta,Región de Antofagasta,Tienda,3,512931,1538793,544934.0
350,12-01-2022,640,María Padilla,61,viña del mar,Región de Valparaíso,App,2,850743,1701486,439556.0
351,12-01-2022,3640,Martín Moraga,37,santiago,Región Metropolitana de Santiago,Tienda,4,927217,3708868,544934.0
353,12-01-2022,5399,Dylan Villanueva,80,viña del mar,Región de Valparaíso,Tienda,1,153092,153092,544934.0
354,12-01-2022,895,Mabel Venegas,27,santiago,Región Metropolitana de Santiago,App,3,1106302,3318906,701277.0
357,12-01-2022,570,Bárbara Cortés,27,concepción,Región del Biobío,App,4,363568,1454272,413430.0
358,12-01-2022,5634,Geraldine Cornejo,34,valparaíso,Región de Valparaíso,Web,3,370782,1112346,544934.0
359,12-01-2022,2321,Adolfo Allendes,59,santiago,Región Metropolitana de Santiago,Web,3,126695,380085,544934.0
360,12-01-2022,702,Matheo Ortega,75,antofagasta,Región de Antofagasta,Tienda,1,583662,583662,146641.0
365,13-01-2022,987,Ingrid Jara,27,rancagua,Región del Libertador General Bernardo O'Higgins,Web,4,116528,466112,719562.0
369,13-01-2022,3219,Gonzalo Donoso,30,temuco,Región de la Araucanía,Web,1,542260,542260,544934.0
371,13-01-2022,4090,Emilia Romero,21,viña del mar,Región de Valparaíso,App,4,312153,1248612,544934.0
372,13-01-2022,261,Cristopher Vallejos,46,temuco,Región de la Araucanía,Web,2,638490,1276980,653507.0
373,13-01-2022,4496,Benjamín Carrasco,34,rancagua,Región del Libertador General Bernardo O'Higgins,Tienda,4,277125,1108500,544934.0
374,13-01-2022,1887,Clemente Vargas,80,santiago,Región Metropolitana de Santiago,Tienda,1,506182,506182,544934.0
375,13-01-2022,4840,Pía Soto,28,santiago,Región Metropolitana de Santiago,Tienda,1,61981,61981,544934.0
378,13-01-2022,2506,Carolina Pizarro,67,santiago,Región Metropolitana de Santiago,Tienda,2,754464,1508928,544934.0
381,13-01-2022,2282,Carlos Sandoval,44,antofagasta,Región de Antofagasta,Tienda,1,709024,709024,544934.0
382,13-01-2022,1402,Guido Villagra,31,temuco,Región de la Araucanía,Web,2,576516,1153032,544934.0
383,13-01-2022,3491,Valeska Aranda,42,concepción,Región del Biobío,Web,2,816271,1632542,544934.0
385,13-01-2022,4124,María Venegas,76,santiago,Región Metropolitana de Santiago,Web,1,467238,467238,544934.0
386,13-01-2022,796,Carmen Carrasco,27,la serena,Región de Coquimbo,Web,2,530080,1060160,884912.0
387,13-01-2022,3157,Alexis Gómez,34,santiago,Región Metropolitana de Santiago,Web,2,41872,83744,544934.0
388,13-01-2022,1238,Francisca Toledo,59,santiago,Región Metropolitana de Santiago,Web,2,807761,1615522,544934.0
390,13-01-2022,164,Violeta Sepúlveda,31,la serena,Región de Coquimbo,Tienda,1,1199153,1199153,582197.0
392,14-01-2022,170,Carmen Riquelme,21,antofagasta,Región de Antofagasta,Web,2,734529,1469058,631804.0
393,14-01-2022,3204,Raúl Jara,58,puerto montt,Región de los Lagos,Tienda,1,721804,721804,544934.0
394,14-01-2022,4311,Verónica Soto,33,santiago,Región Metropolitana de Santiago,Tienda,1,119860,119860,544934.0
395,14-01-2022,353,Valentina Vásquez,46,santiago,Región Metropolitana de Santiago,Web,1,1067075,1067075,692824.0
401,14-01-2022,768,Jaime Leyton,29,concepción,Región del Biobío,App,1,257351,257351,889089.0
403,14-01-2022,4045,María Palma,27,concepción,Región del Biobío,Web,3,942858,2828574,544934.0
