id_venta,fecha_venta,id_cliente,nombre_cliente,edad,ciudad,region,canal_venta,cantidad,precio_unitario_clp,total_venta_clp,habitantes (2023),monto_compra
57,02-01-2022,431,Patricia Chacón,42.0,concepción,,Tienda,4,1021502,4086008,,228693.0
58,02-01-2022,3987,Jaime Salinas,30.0,valparaíso,valparaíso,App,2,277735,555470,954 253,
59,02-01-2022,1087,Ximena Torres,,viña del mar,valparaiso,App,2,989287,1978574,,
60,02-01-2022,3455,Juan Águila,24.0,la serena,,App,1,285203,285203,,
61,03-01-2022,4955,Eduardo Gómez,46.0,concepción,bio bio,Tienda,2,1136463,2272926,,
62,03-01-2022,5635,Daniela Fernández,61.0,santiago,region metropolitana,App,2,798768,1597536,,
63,03-01-2022,3661,Pamela Velásquez,37.0,temuco,,Web,2,823064,1646128,,
64,03-01-2022,2209,Javiera Vera,27.0,santiago,,Web,4,25104,100416,,
65,03-01-2022,3924,Fredy Valenzuela,45.0,santiago,region metropolitana,Tienda,3,264276,792828,,
66,03-01-2022,1961,David Alfaro,20.0,santiago,,Web,3,119020,357060,,
67,03-01-2022,2385,Sara Castro,18.0,la serena,,Web,1,957446,957446,,
68,03-01-2022,2459,María Jaramillo,43.0,concepción,,Tienda,4,141680,566720,,
69,03-01-2022,2737,Felipe Salazar,45.0,talca,maule,Web,4,589468,2357872,307 931,
70,03-01-2022,3739,Enzo Rojas,18.0,santiago,region metropolitana,Tienda,2,267850,535700,,
71,03-01-2022,3128,Kiara Becerra,26.0,santiago,metropolitana,App,2,1179995,2359990,,
72,03-01-2022,254,Diego Toro,44.0,viña del mar,valparaiso,Tienda,1,1182046,1182046,,385230.0
73,03-01-2022,3049,Héctor Ibarra,50.0,concepción,biobío,Tienda,4,759259,3037036,1 036 142,
74,03-01-2022,1568,Verónica Vidal,60.0,antofagasta,antofagasta,Web,2,683931,1367862,441 211,
75,03-01-2022,3702,Mario Muñoz,48.0,santiago,rm,Web,3,835145,2505435,,
76,03-01-2022,754,María Urra,31.0,concepción,biobío,App,4,148611,594444,1 036 142,401415.0
77,03-01-2022,1486,Pamela Vidal,22.0,concepción,bio bio,App,4,154804,619216,,
78,03-01-2022,1905,Martín Cortés,19.0,santiago,region metropolitana,App,2,1128173,2256346,,
79,03-01-2022,85,Benjamín Sánchez,37.0,santiago,,Tienda,2,643534,1287068,,379884.0
80,03-01-2022,5038,Claudio Garay,19.0,la serena,coquimbo,App,3,851894,2555682,534 239,
81,03-01-2022,2268,Daniela Jaque,38.0,antofagasta,,Web,2,834586,1669172,,
82,03-01-2022,2036,Fernando Campos,26.0,concepción,biobío,App,3,610436,1831308,1 036 142,
83,03-01-2022,893,Marta Parra,38.0,viña del mar,valparaiso,Web,1,167922,167922,,847198.0
84,03-01-2022,4351,Iván Herrera,,temuco,la araucanía,Tienda,2,1125017,2250034,,
85,03-01-2022,194,Sarai Hernández,41.0,santiago,,Web,1,753223,753223,,669791.0
86,03-01-2022,3157,Alexis Gómez,,santiago,metropolitana,Tienda,4,1108242,4432968,,
87,03-01-2022,3431,Rafael Ayala,28.0,viña del mar,valparaiso,App,1,363273,363273,,
88,03-01-2022,1542,Rodolfo Pavez,41.0,santiago,rm,Web,3,38578,115734,,
89,03-01-2022,1007,Marcela Toro,28.0,la serena,coquimbo,App,3,312907,938721,534 239,
90,03-01-2022,4238,Juana Villanueva,42.0,antofagasta,,App,2,1015419,2030838,,
91,04-01-2022,5966,Vicente Vergara,26.0,temuco,,Web,2,482376,964752,,
92,04-01-2022,2693,Florencia Candia,55.0,santiago,,App,2,49782,99564,,
93,04-01-2022,2194,Constanza Cornejo,26.0,santiago,rm,Web,4,801155,3204620,,
94,04-01-2022,5877,David Guerrero,,temuco,la araucanía,App,3,119252,357756,,
95,04-01-2022,2305,Bastián Villanueva,22.0,santiago,metropolitana,App,3,140112,420336,,
96,04-01-2022,3989,María Salazar,,santiago,region metropolitana,Tienda,3,302762,908286,,
97,04-01-2022,5199,Joaquín Vega,28.0,la serena,coquimbo,App,3,598228,1794684,534 239,
98,04-01-2022,521,Ingrid Toledo,32.0,valparaíso,valparaíso,Web,1,470173,470173,954 253,634718.0
99,04-01-2022,4438,Luis Acevedo,43.0,santiago,metropolitana,Web,2,921505,1843010,,
100,04-01-2022,5529,Claudia Parra,28.0,antofagasta,antofagasta,App,2,1077831,2155662,441 211,
101,04-01-2022,939,René Jara,34.0,viña del mar,,Tienda,2,720298,1440596,,205976.0
102,04-01-2022,5248,Amelia Ramos,24.0,puerto montt,,Web,2,1125675,2251350,,
103,04-01-2022,3464,Sixto Contreras,30.0,concepción,biobío,Web,1,528218,528218,1 036 142,
104,04-01-2022,4152,Rodrigo Concha,34.0,santiago,rm,App,3,161058,483174,,
105,04-01-2022,2108,Simón Zúñiga,,concepción,bio bio,Tienda,1,1062847,1062847,,
106,04-01-2022,2600,María Molina,22.0,la serena,coquimbo,App,2,554174,1108348,534 239,
107,04-01-2022,2833,Pía Calderón,32.0,santiago,,App,3,883913,2651739,,
108,04-01-2022,640,María Padilla,61.0,viña del mar,valparaiso,Tienda,4,235854,943416,,439556.0
109,04-01-2022,5915,Adrián Valenzuela,42.0,santiago,metropolitana,Web,4,334179,1336716,,
110,04-01-2022,9,Silvia Salas,38.0,temuco,la araucanía,Tienda,4,656808,2627232,,641004.0
111,04-01-2022,4882,Eugenio Gallardo,80.0,talca,,Tienda,1,679963,679963,,
112,04-01-2022,139,Sonia Vásquez,37.0,santiago,metropolitana,Web,1,752322,752322,,427267.0
113,04-01-2022,392,José Torres,35.0,la serena,,Web,2,39651,79302,,471356.0
114,04-01-2022,2804,Gary Orellana,43.0,concepción,,Tienda,2,577516,1155032,,
115,04-01-2022,5182,Carmen Flores,57.0,temuco,,App,2,822466,1644932,,
116,04-01-2022,2711,María Muñoz,25.0,santiago,metropolitana,App,3,734017,2202051,,
117,04-01-2022,5938,Flavia Mercado,74.0,santiago,,Web,3,1052016,3156048,,
118,04-01-2022,2828,Gregory Cea,28.0,viña del mar,valparaiso,Tienda,2,517498,1034996,,
119,04-01-2022,2370,Francisca Urbina,18.0,santiago,metropolitana,App,3,174613,523839,,
120,04-01-2022,4134,Irma Molina,45.0,santiago,region metropolitana,Tienda,4,1121073,4484292,,
121,05-01-2022,4337,Isabel Palma,20.0,concepción,biobío,Tienda,4,385718,1542872,1 036 142,
122,05-01-2022,4176,Matías Espinoza,,santiago,rm,Web,1,157287,157287,,
123,05-01-2022,4608,Andrea Díaz,50.0,antofagasta,,Web,3,855694,2567082,,
124,05-01-2022,5203,Javiera Leiva,39.0,la serena,coquimbo,Web,3,724119,2172357,534 239,
125,05-01-2022,1290,Marcelo Rubilar,24.0,temuco,la araucanía,App,4,15432,61728,,
126,05-01-2022,1283,Cristian Bernal,,santiago,metropolitana,Tienda,4,756014,3024056,,
127,05-01-2022,2689,Martha Guzmán,23.0,santiago,rm,Web,2,80469,160938,,
128,05-01-2022,5432,Leslie Reyes,38.0,santiago,metropolitana,Tienda,4,106557,426228,,
129,05-01-2022,2356,Juan Moreno,62.0,talca,maule,Web,3,1125712,3377136,307 931,
130,05-01-2022,4055,Félix Lara,27.0,valparaíso,valparaíso,Web,2,632683,1265366,954 253,
131,05-01-2022,2093,Bárbara Ramírez,22.0,santiago,rm,Tienda,1,1009736,1009736,,
132,05-01-2022,830,Jorge Novoa,21.0,santiago,region metropolitana,Web,1,261320,261320,,506996.0
133,05-01-2022,475,María Navarrete,24.0,la serena,coquimbo,App,4,385074,1540296,534 239,574931.0
134,05-01-2022,5317,Claudio Rojas,32.0,viña del mar,,Web,3,270826,812478,,
135,05-01-2022,677,Camila Tapia,24.0,viña del mar,valparaiso,Web,4,583850,2335400,,200835.0
136,05-01-2022,240,Marcelo Jara,48.0,santiago,metropolitana,Web,3,391675,1175025,,259400.0
137,05-01-2022,3444,Jaime López,26.0,la serena,,App,2,231130,462260,,
138,05-01-2022,1580,Lukas Álvarez,29.0,viña del mar,valparaiso,Web,1,1108777,1108777,,
139,05-01-2022,743,Fabiola Román,37.0,la serena,,Tienda,1,1040410,1040410,,772848.0
140,05-01-2022,3140,Vania Pereira,53.0,santiago,region metropolitana,Tienda,2,87028,174056,,
141,05-01-2022,199,Isabel Vásquez,39.0,santiago,metropolitana,Tienda,2,210212,420424,,898378.0
142,05-01-2022,1150,Jeremías Urbina,33.0,santiago,region metropolitana,Tienda,3,596822,1790466,,
143,05-01-2022,313,Margarita Bravo,18.0,santiago,,App,1,909898,909898,,122816.0
144,05-01-2022,5275,Ariela Villa,30.0,concepción,biobío,Web,1,544109,544109,1 036 142,
145,05-01-2022,966,Isabel Méndez,24.0,santiago,metropolitana,App,1,1064508,1064508,,420105.0
146,05-01-2022,3858,Pamela Soto,31.0,la serena,,Web,1,227639,227639,,
147,05-01-2022,3737,Nury Vergara,45.0,temuco,la araucanía,Web,3,983072,2949216,,
148,05-01-2022,5555,Michelle Cárdenas,50.0,valparaíso,valparaíso,Web,4,772747,3090988,954 253,
149,05-01-2022,175,Constanza Allendes,48.0,santiago,region metropolitana,Tienda,4,975139,3900556,,680656.0
150,05-01-2022,2624,María Aguirre,37.0,valparaíso,,Web,3,1033934,3101802,,
151,06-01-2022,681,Camila Torres,,santiago,region metropolitana,App,2,1021097,2042194,,835365.0
152,06-01-2022,4424,Damaris Toro,30.0,concepción,bio bio,Tienda,2,98142,196284,,
153,06-01-2022,2368,Pablo Carvajal,28.0,valparaíso,valparaíso,Web,2,60018,120036,954 253,
154,06-01-2022,4462,Arturo Vera,35.0,santiago,metropolitana,Tienda,1,57189,57189,,
155,06-01-2022,3839,Rosa López,30.0,puerto montt,los lagos,App,3,432296,1296888,328 924,
156,06-01-2022,5047,Hilda Riveros,36.0,santiago,metropolitana,Web,4,450119,1800476,,
157,06-01-2022,2798,Rodrigo Muñoz,32.0,viña del mar,,Tienda,2,118515,237030,,
158,06-01-2022,2859,Francisca Tapia,,santiago,,Tienda,4,480121,1920484,,
159,06-01-2022,240,Marcelo Jara,48.0,santiago,metropolitana,Web,3,1168542,3505626,,259400.0
160,06-01-2022,5221,Felipe Tapia,,temuco,,Tienda,4,173831,695324,,
161,06-01-2022,3010,María Urrutia,57.0,santiago,region metropolitana,Tienda,1,842263,842263,,
162,06-01-2022,5583,Marta Avilés,46.0,santiago,metropolitana,Web,4,274066,1096264,,
163,06-01-2022,1094,Brenda Arteaga,,antofagasta,antofagasta,Tienda,1,9658,9658,441 211,
164,06-01-2022,777,Norma Riquelme,47.0,santiago,rm,App,4,907488,3629952,,306326.0
165,06-01-2022,3011,Daniel Ramírez,18.0,concepción,bio bio,App,4,431575,1726300,,
166,06-01-2022,3700,Viviana González,28.0,valparaíso,,App,1,836241,836241,,
167,06-01-2022,4309,Cristina Vega,33.0,santiago,region metropolitana,Tienda,1,617903,617903,,
168,06-01-2022,1927,Jonathan Pizarro,48.0,santiago,,App,4,1159873,4639492,,
169,06-01-2022,1569,Mario Núñez,37.0,talca,maule,Web,2,673863,1347726,307 931,
170,06-01-2022,3112,Esteban Manríquez,53.0,santiago,rm,Web,4,1019635,4078540,,
171,06-01-2022,1812,Iris Fernández,35.0,temuco,la araucanía,Web,4,816968,3267872,,
172,06-01-2022,5941,Bernardita Pizarro,23.0,temuco,la araucanía,Tienda,4,71192,284768,,
173,06-01-2022,5541,Sofía Torres,18.0,santiago,,App,1,930527,930527,,
174,06-01-2022,629,Santiago Páez,,puerto montt,,Web,4,474616,1898464,,133015.0
175,06-01-2022,475,María Navarrete,24.0,la serena,coquimbo,App,4,324559,1298236,534 239,574931.0
176,06-01-2022,4842,Flor Farías,46.0,viña del mar,valparaiso,Tienda,3,490214,1470642,,
177,06-01-2022,4138,Gladys Campos,34.0,antofagasta,antofagasta,Tienda,1,919021,919021,441 211,
178,06-01-2022,4169,Paulina Olivares,36.0,la serena,,Tienda,4,120343,481372,,
179,06-01-2022,1582,Francisco Muñoz,25.0,concepción,biobío,Tienda,1,744853,744853,1 036 142,
180,06-01-2022,5234,Moisés Aguilera,49.0,santiago,region metropolitana,Tienda,3,1197979,3593937,,
181,07-01-2022,2046,Celestino Jara,44.0,santiago,region metropolitana,Tienda,4,936883,3747532,,
182,07-01-2022,2039,Gerardo Contreras,,la serena,,Web,1,898040,898040,,
183,07-01-2022,1182,Renato Silva,24.0,valparaíso,valparaíso,Web,3,514280,1542840,954 253,
184,07-01-2022,3335,Jessica Márquez,34.0,santiago,region metropolitana,Web,2,827649,1655298,,
185,07-01-2022,5975,Daniel González,33.0,la serena,,Web,2,711802,1423604,,
186,07-01-2022,5506,Gianfranco Oyarzo,29.0,antofagasta,,Web,1,1175039,1175039,,
187,07-01-2022,2170,Bastián Arancibia,19.0,la serena,,Web,4,1007872,4031488,,
188,07-01-2022,1829,Paul Cabrera,52.0,la serena,,Web,1,281960,281960,,
189,07-01-2022,4591,Sebastián Rojas,20.0,santiago,region metropolitana,Web,2,565742,1131484,,
190,07-01-2022,855,José Sanhueza,73.0,temuco,la araucanía,Tienda,3,555849,1667547,,284626.0
191,07-01-2022,3831,Daniela Lobos,32.0,santiago,,Tienda,2,644173,1288346,,
192,07-01-2022,5005,Katherine Ruiz,18.0,la serena,,Web,4,381248,1524992,,
193,07-01-2022,3037,Manuel Silva,21.0,la serena,coquimbo,Web,2,1168509,2337018,534 239,
194,07-01-2022,2135,Juan Montecino,28.0,concepción,biobío,Web,1,56252,56252,1 036 142,
195,07-01-2022,3602,Víctor Ferrada,42.0,talca,,Web,4,880388,3521552,,
196,07-01-2022,4381,Johanna Martínez,31.0,temuco,,Web,2,257442,514884,,
197,07-01-2022,3570,Nelson Cabello,26.0,valparaíso,,Web,2,420106,840212,,
198,07-01-2022,2345,Eduardo Ríos,47.0,santiago,region metropolitana,Tienda,3,767814,2303442,,
199,07-01-2022,4433,Marta Mardones,,valparaíso,valparaíso,Tienda,1,404358,404358,954 253,
200,07-01-2022,2035,Mateo Cárdenas,43.0,rancagua,,Tienda,3,661059,1983177,,
201,07-01-2022,2147,Josefa Vargas,44.0,antofagasta,antofagasta,Tienda,1,76373,76373,441 211,
202,07-01-2022,2400,Cristian Salazar,25.0,rancagua,o'higgins,Web,2,1199544,2399088,335 932,
203,07-01-2022,5575,Judith Hernández,32.0,valparaíso,,Tienda,2,665210,1330420,,
204,07-01-2022,2308,Rosa Tapia,53.0,talca,,App,1,215727,215727,,
205,07-01-2022,3890,Jonathan Aguilar,29.0,santiago,,App,4,228432,913728,,
206,07-01-2022,3156,Rosalía Reyes,50.0,santiago,region metropolitana,Tienda,1,209560,209560,,
207,07-01-2022,2309,Tatiana Villalobos,23.0,santiago,rm,Web,1,1111439,1111439,,
208,07-01-2022,1576,María San Martín,24.0,santiago,region metropolitana,Web,2,357331,714662,,
209,07-01-2022,367,Florencia Zamora,43.0,concepción,biobío,Tienda,4,691237,2764948,1 036 142,965072.0
210,07-01-2022,2421,Martín González,,rancagua,,Tienda,4,890443,3561772,,
211,08-01-2022,1039,Patricio Olea,35.0,santiago,rm,Tienda,4,279571,1118284,,
212,08-01-2022,1382,Lorena Tapia,38.0,la serena,,Web,4,382173,1528692,,
213,08-01-2022,359,Juan Muñoz,47.0,la serena,coquimbo,Web,1,1110432,1110432,534 239,946207.0
214,08-01-2022,4190,Javier Vejar,47.0,santiago,rm,Tienda,1,704631,704631,,
215,08-01-2022,3737,Nury Vergara,45.0,temuco,la araucanía,Tienda,4,344074,1376296,,
216,08-01-2022,5372,Luis Sanhueza,45.0,temuco,,Web,1,960743,960743,,
217,08-01-2022,4444,María Garrido,30.0,santiago,rm,Tienda,2,356762,713524,,
218,08-01-2022,5797,Juana Martínez,,puerto montt,los lagos,Web,4,358926,1435704,328 924,
219,08-01-2022,2205,Luciana González,28.0,la serena,,App,1,1185144,1185144,,
220,08-01-2022,22,Yuliana Maldonado,53.0,santiago,,Web,2,960826,1921652,,225544.0
221,08-01-2022,5077,Claudio León,24.0,santiago,metropolitana,App,3,332395,997185,,
222,08-01-2022,3350,Sergio Montes,27.0,santiago,rm,App,3,359260,1077780,,
223,08-01-2022,3199,Alonso Rojas,45.0,talca,,Web,4,572827,2291308,,
224,08-01-2022,2877,Valentina Valdés,43.0,puerto montt,los lagos,Tienda,2,489717,979434,328 924,
225,08-01-2022,2945,Bárbara Cabrera,49.0,concepción,bio bio,Web,4,319445,1277780,,
226,08-01-2022,5321,Antonella Guerra,,santiago,metropolitana,Tienda,2,1089375,2178750,,
227,08-01-2022,799,Moisés Varas,27.0,viña del mar,valparaiso,App,1,742306,742306,,726986.0
228,08-01-2022,4548,Ítalo Zúñiga,72.0,la serena,coquimbo,Tienda,2,866534,1733068,534 239,
229,08-01-2022,5895,Nataly Fuentes,40.0,santiago,metropolitana,Web,3,143233,429699,,
230,08-01-2022,4640,Julieta Santander,61.0,concepción,biobío,Web,1,400381,400381,1 036 142,
231,08-01-2022,4162,Yolanda Ormeño,66.0,santiago,,Web,3,696492,2089476,,
232,08-01-2022,4436,Sebastián Cornejo,24.0,santiago,metropolitana,Web,1,1000384,1000384,,
233,08-01-2022,4206,Roxana Contreras,28.0,temuco,la araucanía,App,4,575174,2300696,,
234,08-01-2022,352,Juan Oyarzo,33.0,santiago,rm,Tienda,4,393559,1574236,,870841.0
235,08-01-2022,4234,David Jara,27.0,talca,maule,App,4,396810,1587240,307 931,
236,08-01-2022,458,Judith Bravo,,santiago,,Web,4,51333,205332,,521795.0
237,08-01-2022,4078,Marcos Rojas,43.0,viña del mar,,App,3,944092,2832276,,
238,08-01-2022,1204,Alan Vásquez,,concepción,bio bio,App,3,791519,2374557,,
239,08-01-2022,3455,Juan Águila,24.0,la serena,,App,3,897921,2693763,,
240,08-01-2022,5972,Felipe Salazar,,puerto montt,los lagos,Tienda,1,275835,275835,328 924,
241,09-01-2022,3115,Gabriela Mena,47.0,concepción,,Tienda,3,606617,1819851,,
242,09-01-2022,5558,Manuel Soto,53.0,talca,maule,Tienda,1,91437,91437,307 931,
243,09-01-2022,5332,Fernando Castro,34.0,santiago,metropolitana,App,4,114152,456608,,
244,09-01-2022,2946,Cristian Jiménez,,santiago,,App,4,342151,1368604,,
245,09-01-2022,4364,Pablo Gallardo,33.0,puerto montt,los lagos,Web,2,122001,244002,328 924,
246,09-01-2022,4354,Carlos Valenzuela,21.0,santiago,metropolitana,App,1,206160,206160,,
247,09-01-2022,5525,Jorge Solís,35.0,la serena,,Tienda,2,568012,1136024,,
248,09-01-2022,2519,Maximiliano Inzunza,24.0,puerto montt,,Web,1,561976,561976,,
249,09-01-2022,1103,Sergio Sierra,76.0,valparaíso,valparaíso,Web,2,40317,80634,954 253,
250,09-01-2022,4618,Cristopher Martínez,48.0,talca,,App,2,915482,1830964,,
251,09-01-2022,5346,Gabriel Sepúlveda,47.0,viña del mar,,Tienda,4,801030,3204120,,
252,09-01-2022,3681,Domingo Díaz,39.0,concepción,biobío,Web,3,1075289,3225867,1 036 142,
253,09-01-2022,2653,Georgina Arenas,52.0,concepción,bio bio,Tienda,1,901803,901803,,
254,09-01-2022,2191,Amaro Palma,26.0,viña del mar,,Web,2,848656,1697312,,
255,09-01-2022,4180,Erna Acevedo,45.0,concepción,bio bio,Tienda,1,376579,376579,,
256,09-01-2022,2140,Valentina Aravena,47.0,valparaíso,valparaíso,Web,2,607186,1214372,954 253,
257,09-01-2022,4176,Matías Espinoza,,santiago,rm,Tienda,3,611618,1834854,,
258,09-01-2022,2349,Luis Arias,38.0,santiago,region metropolitana,Tienda,3,787883,2363649,,
259,09-01-2022,5459,Ángela Melo,,rancagua,,Tienda,4,92666,370664,,
260,09-01-2022,2744,Aída Retamal,48.0,viña del mar,,Tienda,1,834071,834071,,
261,09-01-2022,1621,Carmen González,20.0,santiago,metropolitana,Web,3,691026,2073078,,
262,09-01-2022,1340,Ángel Palma,26.0,santiago,,Web,2,524215,1048430,,
263,09-01-2022,5306,Martín Román,26.0,viña del mar,valparaiso,App,4,976922,3907688,,
264,09-01-2022,664,Génesis Jara,30.0,antofagasta,antofagasta,App,4,933864,3735456,441 211,313504.0
265,09-01-2022,3775,Karen Díaz,20.0,santiago,rm,Tienda,1,561667,561667,,
266,09-01-2022,21,Laura Carrillo,25.0,rancagua,o'higgins,Web,4,216376,865504,335 932,650668.0
267,09-01-2022,1830,Elisa Piña,20.0,rancagua,,App,4,538356,2153424,,
268,09-01-2022,1684,Patricia Novoa,65.0,santiago,,Web,4,1091765,4367060,,
269,09-01-2022,1739,Jorge Almonacid,,santiago,region metropolitana,Web,1,1112033,1112033,,
270,09-01-2022,3764,Alicia Vergara,62.0,santiago,rm,Tienda,3,1105871,3317613,,
271,10-01-2022,4421,Marlene Gutiérrez,35.0,temuco,,Tienda,4,675035,2700140,,
272,10-01-2022,552,Julio Catalán,34.0,viña del mar,valparaiso,Web,1,66086,66086,,866963.0
273,10-01-2022,1587,María Lobos,,santiago,,Tienda,3,676058,2028174,,
274,10-01-2022,4015,Luis Valdebenito,24.0,temuco,,App,3,712665,2137995,,
275,10-01-2022,4406,Marisel Martínez,37.0,concepción,bio bio,App,3,793026,2379078,,
276,10-01-2022,771,Álvaro Delgado,57.0,santiago,metropolitana,Tienda,2,80861,161722,,199569.0
277,10-01-2022,1981,Jacob Aranda,40.0,temuco,la araucanía,App,2,738969,1477938,,
278,10-01-2022,2516,Abigail Torres,,santiago,rm,Tienda,3,369607,1108821,,
279,10-01-2022,3030,Bastián Zenteno,42.0,antofagasta,antofagasta,Web,3,736820,2210460,441 211,
280,10-01-2022,4096,Juan Arriagada,23.0,santiago,rm,Tienda,4,383682,1534728,,
281,10-01-2022,3812,Nicole Valdés,64.0,antofagasta,,Web,1,601481,601481,,
282,10-01-2022,4214,César Tobar,50.0,valparaíso,valparaíso,Tienda,1,330664,330664,954 253,
283,10-01-2022,3807,Liliana García,29.0,la serena,coquimbo,Web,2,1108299,2216598,534 239,
284,10-01-2022,365,María Valladares,30.0,antofagasta,antofagasta,App,4,821422,3285688,441 211,947318.0
285,10-01-2022,2431,Olga Vergara,78.0,santiago,metropolitana,Tienda,4,12319,49276,,
286,10-01-2022,3075,Jonathan Torres,,santiago,,App,3,842832,2528496,,
287,10-01-2022,5820,Camila Espinoza,19.0,valparaíso,,Web,4,87124,348496,,
288,10-01-2022,2710,José Araya,23.0,santiago,region metropolitana,App,3,485653,1456959,,
289,10-01-2022,781,Ángel González,30.0,santiago,metropolitana,App,3,99345,298035,,724554.0
